FY_Quarter,Repo_QtrAvg,Repo_QtrEnd
2010-11 Q4,6.475806451612904,6.75
2011-12 Q1,7.114247311827957,7.5
2011-12 Q2,7.907258064516129,8.25
2011-12 Q3,8.435483870967742,8.5
2011-12 Q4,8.5,8.5
2012-13 Q1,8.088888888888889,8.0
2012-13 Q2,8.0,8.0
2012-13 Q3,8.0,8.0
2012-13 Q4,7.790322580645161,7.5
2013-14 Q1,7.338709677419355,7.25
2013-14 Q2,7.280555555555556,7.5
2013-14 Q3,7.674731182795699,7.75
2013-14 Q4,7.927419354838709,8.0
2014-15 Q1,8.0,8.0
2014-15 Q2,8.0,8.0
2014-15 Q3,8.0,8.0
2014-15 Q4,7.712365591397849,7.5
2015-16 Q1,7.419444444444444,7.25
2015-16 Q2,7.23888888888889,6.75
2015-16 Q3,6.75,6.75
2015-16 Q4,6.75,6.75
2016-17 Q1,6.51111111111111,6.5
2016-17 Q2,6.5,6.5
2016-17 Q3,6.258064516129032,6.25
2016-17 Q4,6.25,6.25
2017-18 Q1,6.25,6.25
2017-18 Q2,6.086021505376344,6.0
2017-18 Q3,6.0,6.0
2017-18 Q4,6.0,6.0
2018-19 Q1,6.069444444444444,6.25
2018-19 Q2,6.416666666666667,6.5
2018-19 Q3,6.5,6.5
2018-19 Q4,6.351190476190477,6.25
2019-20 Q1,5.938888888888889,5.75
2019-20 Q2,5.539247311827957,5.4
2019-20 Q3,5.158064516129033,5.15
2019-20 Q4,5.109677419354839,4.4
2020-21 Q1,4.223655913978495,4.0
2020-21 Q2,4.0,4.0
2020-21 Q3,4.0,4.0
2020-21 Q4,4.0,4.0
2021-22 Q1,4.0,4.0
2021-22 Q2,4.0,4.0
2021-22 Q3,4.0,4.0
2021-22 Q4,4.0,4.0
2022-23 Q1,4.3815412186379925,4.9
2022-23 Q2,5.217383512544803,5.9
2022-23 Q3,5.994086021505377,6.25
2022-23 Q4,6.395833333333333,6.5
2023-24 Q1,6.5,6.5
2023-24 Q2,6.5,6.5
2023-24 Q3,6.5,6.5
2023-24 Q4,6.5,6.5
2024-25 Q1,6.5,6.5
2024-25 Q2,6.5,6.5
2024-25 Q3,6.5,6.5
2024-25 Q4,6.351190476190477,6.25
2025-26 Q1,5.883333333333333,5.5
2025-26 Q2,5.5,5.5
2025-26 Q3,5.427419354838709,5.25
2025-26 Q4,5.25,5.25
